Category,BSR,Revenue,Review.velocity,Sales,Brand,ASIN,Price,FBA.Fees,Product.Details,
groceryfoodchocolateboxesgifts,7,10005,946,2668,Ferrero,B0177IQTXO,3.75,2.64,Ferrero Rocher Chocolate Hamper Christmas Gifts Set Sweets Hazelnut and Milk Chocolate Pralines 200g Pack of 16,
groceryfoodchocolateboxesgifts,52,16488,551,2748,M&M's,B00DGL2GC0,6.00,3.15,M&M's Peanut Chocolate Party Bulk Bag Christmas Chocolate Gift Stocking Fillers 1 kg,
grocerydrinksteablack,67,156044,174,11146,Twinings,B01LXFRFO7,14.00,4.80,Twinings English Afternoon Tea 400 Tea Bags (Multipack of 4 x 100 Tea Bags),
groceryfoodchocolateboxesgifts,97,9504,0,1584,Thorntons,B07WV5V488,6.00,2.99,Thorntons Chocolate Classic Chocolate Hamper Christmas Gifts Set Assorted White Milk and Dark Chocolates Box 449 g,
groceryfoodchocolateboxesgifts,196,9015,1,1505,Lindt,B01KI2M0MK,5.99,2.04,Lindt Mini Snowmen Milk Chocolate Figures 50g,
groceryfoodchocolateboxesgifts,202,29211,-3,2924,Cadbury,B075CPGN9L,9.99,3.02,Cadbury Heroes Christmas Advent-ure Calendar 232g,
grocerydrinkswholecoffeebeans,221,15120,0,2250,Solimo,B08WSQMK7D,6.72,3.28,Amazon Brand - Solimo Coffee Beans 1 kg (1 x 1 kg),
groceryfoodchocolateboxesgifts,267,50912,11,2896,TOBLERONE,B07Y22TWNF,17.58,6.85,Toblerone Advent Calendar 200 Grams,
grocerydrinkscofeegroundcoffee,301,43313,237,1925,Taylors of Harrogate,B00EGSYHVU,22.50,7.48,Taylors of Harrogate After Dark Ground Coffee 227g (Pack of 6),
groceryfoodchocolateboxesgifts,383,18521,64,2421,Maltesers,B07ZB5C3ZM,7.65,3.12,Maltesers Truffles Chocolate Gift Box Christmas Chocolate Gift Stocking Fillers 455g,
chilled drinks,514,7236,24,3146,Nesquik,B0151IEB46,2.30,2.52,"Nesquik Chocolate Milkshake Mix, 300g",
